"","date","Company","firstCity","Platform"
"1",2015-12-08,"JOM Jäschke Operational M...","Hamburg","Monster"
"2",2015-12-17,"travel audience GmbH","Berlin","Monster"
"3",2015-12-17,"NorCom Information Techno...","München","Monster"
"4",2015-12-17,"Deloitte & Touche GmbH","Berlin","Monster"
"5",2015-12-17,"LIDL Stiftung & Co. KG","Neckarsulm","Monster"
"6",2015-12-17,"Deloitte & Touche GmbH","Berlin","Monster"
"7",2015-12-16,"Gameforge AG","Karlsruhe","Monster"
"8",2015-12-16,"Deloitte & Touche GmbH","Berlin","Monster"
"9",2015-12-16,"ALDI SÜD","Mülheim","Monster"
"10",2015-12-15,"BMW Group","München","Monster"
"11",2015-12-14,"ALTRAN Deutschland","bundesweit","Monster"
"12",2015-12-14,"Deloitte & Touche GmbH","Berlin","Monster"
"13",2015-12-13,"G+J Digital Products GmbH","Hamburg","Monster"
"14",2015-12-11,"Deutsche Messe AG","Hannover","Monster"
"15",2015-12-11,"Schober Information Group...","Stuttgart","Monster"
"16",2015-12-11,"Schober Information Group...","Stuttgart","Monster"
"17",2015-12-09,"Deutsche Bahn AG","Frankfurt","Monster"
"18",2015-12-08,"inovex GmbH","München","Monster"
"19",2015-12-08,"inovex GmbH","München","Monster"
"20",2015-12-02,"AXA Konzern AG","Köln","Monster"
"21",2015-12-02,"Blue Yonder GmbH","Karlsruhe","Monster"
"22",2015-12-01,"Blue Yonder GmbH","Karlsruhe","Monster"
"23",2015-12-01,"AXA Konzern AG","Köln","Monster"
"24",2015-12-17,"EY","Frankfurt","Monster"
"25",2015-12-06,"Vodafone","München","Monster"
"26",2015-12-17,"Deloitte & Touche GmbH","Frankfurt","Monster"
"27",2015-12-17,"Deloitte & Touche GmbH","Frankfurt","Monster"
"28",2015-12-14,"easyCredit","Stuttgart","Monster"
"29",2015-12-11,"HORNBACH Baumarkt AG","Nürnberg","Monster"
"30",2015-12-10,"IT-Personalberatung Dr. D...","Bornheim","Monster"
"31",2015-12-09,"Polizeipräsidium Reutling...","Esslingen","Monster"
"32",2015-12-16,"Horváth & Partner GmbH","München","Monster"
"33",2015-12-16,"Deloitte & Touche GmbH","Berlin","Monster"
"34",2015-12-15,"Deloitte & Touche GmbH","Stuttgart","Monster"
"35",2015-12-15,"Deloitte & Touche GmbH","München","Monster"
"36",2015-12-15,"Deloitte & Touche GmbH","Frankfurt","Monster"
"37",2015-12-12,"Schober Information Group Deutschland GmbH","Stuttgart","Indeed"
"38",2015-12-14,"G+J Digital Products GmbH","Hamburg","Indeed"
"39",2015-12-07,"EnBW Energie Baden-Württemberg AG","Köln","Indeed"
"40",2015-12-12,"ProSiebenSat.1 Media SE","Unterföhring","Indeed"
"41",2015-12-09,"Searchmetrics GmbH","Berlin","Indeed"
"42",2015-12-12,"Schober Information Group Deutschland GmbH","Stuttgart","Indeed"
"43",2015-12-07,"EnBW Energie Baden-Württemberg AG","Köln","Indeed"
"44",2015-12-03,"Lidl Stiftung & Co. KG","Neckarsulm","Indeed"
"45",2015-12-16,"Techniker Krankenkasse","Hamburg","Indeed"
"46",2015-12-15,"ALDI SÜD","Mülheim","Indeed"
"47",2015-12-04,"Deloitte & Touche GmbH","Berlin","Indeed"
"48",2015-12-04,"Zalando SE","Berlin","Indeed"
"49",2015-12-11,"EOS Holding","Hamburg","Indeed"
"50",2015-12-07,"Capgemini Consulting","Berlin","Indeed"
"51",2015-12-05,"Berner SE","Köln","Indeed"
"52",2015-12-14,"Schwarz Dienstleistung KG","Neckarsulm","Indeed"
"53",2015-12-14,"Media-Saturn-Holding GmbH","München","Indeed"
"54",2015-12-14,"Media-Saturn-Holding GmbH","München","Indeed"
"55",2015-12-13,"HolidayCheck AG","Bottighofem","Indeed"
"56",2015-12-13,"CHECK24 Services GmbH","Leipzig","Indeed"
"57",2015-12-10,"PwC","Düsseldorf","Indeed"
"58",2015-12-06,"Vodafone Kabel Deutschland GmbH","Unterföhring","Indeed"
"59",2015-12-03,"SensoMotoric Instruments GmbH","Teltow","Indeed"
"60",2015-12-10,"Hewlett Packard Enterprise","Dornach-Aschheim","Indeed"
"61",2015-12-15,"Ernst & Young GmbH Wirtschaftsprüfungs- gesellschaft","Frankfurt","Indeed"
"62",2015-12-17,"NorCom Information Techno...","München","Indeed"
"63",2015-12-17,"Deloitte & Touche GmbH","Berlin","Indeed"
"64",2015-12-17,"LIDL Stiftung & Co. KG","Neckarsulm","Indeed"
"65",2015-12-17,"Deloitte & Touche GmbH","Berlin","Indeed"
"66",2015-12-16,"Gameforge AG","Karlsruhe","Indeed"
"67",2015-12-16,"Deloitte & Touche GmbH","Berlin","Indeed"
"68",2015-12-16,"ALDI SÜD","Mülheim","Indeed"
"69",2015-12-15,"BMW Group","München","Indeed"
"70",2015-12-14,"ALTRAN Deutschland","bundesweit","Indeed"
"71",2015-12-14,"Deloitte & Touche GmbH","Berlin","Indeed"
"72",2015-12-13,"G+J Digital Products GmbH","Hamburg","Indeed"
"73",2015-12-11,"travel audience GmbH","Berlin","Indeed"
"74",2015-12-11,"Deutsche Messe AG","Hannover","Indeed"
"75",2015-12-11,"Schober Information Group...","Stuttgart","Indeed"
"76",2015-12-11,"Schober Information Group...","Stuttgart","Indeed"
"77",2015-12-09,"Deutsche Bahn AG","Frankfurt","Indeed"
"78",2015-12-08,"inovex GmbH","München","Indeed"
"79",2015-12-08,"JOM Jäschke Operational M...","Hamburg","Indeed"
"80",2015-12-08,"inovex GmbH","München","Indeed"
"81",2015-12-02,"AXA Konzern AG","Köln","Indeed"
"82",2015-12-02,"Blue Yonder GmbH","Karlsruhe","Indeed"
"83",2015-12-01,"Blue Yonder GmbH","Karlsruhe","Indeed"
"84",2015-12-01,"AXA Konzern AG","Köln","Indeed"
"85",2015-12-16,"ABB AG","Ladenburg","Indeed"
"86",2015-12-14,"Hexal","Oberhaching","Indeed"
"87",2015-11-21,"ERGO Direkt","Nürnberg","Indeed"
"88",2015-11-19,"E.ON Business Services","München","Indeed"
"89",2015-11-17,"Abbott Laboratories","Wiesbaden","Indeed"
"90",2015-12-12,"Medlanes GmbH","Berlin","Indeed"
"91",2015-12-17,"GameGenetics","Berlin","Indeed"
"92",2015-12-10,"Cocomore","Frankfurt","Indeed"
"93",2015-12-10,"ResearchGate GmbH","Berlin","Indeed"
"94",2015-12-17,"King.com","Berlin","Indeed"
"95",2015-12-12,"ProSiebenSat.1","München","Indeed"
"96",2015-12-02,"EnBW Energie Baden-Württemberg AG","Köln","Indeed"
"97",2015-12-11,"Stylight GmbH","München","Indeed"
"98",2015-12-11,"Rocket Internet","Heidelberg","Indeed"
"99",2015-12-02,"Sonstige","Hamburg","Indeed"
"100",2015-12-02,"Nigel Frank International Limited","Nürnberg","Indeed"
"101",2015-12-01,"Sysmex Inostics GmbH","Hamburg","Indeed"
"102",2015-12-08,"JOM Jäschke Operational M...","Hamburg","Stepstone"
"103",2015-12-17,"travel audience GmbH","Berlin","Stepstone"
"104",2015-12-17,"NorCom Information Techno...","München","Stepstone"
"105",2015-12-17,"Deloitte & Touche GmbH","Berlin","Stepstone"
"106",2015-12-17,"LIDL Stiftung & Co. KG","Neckarsulm","Stepstone"
"107",2015-12-17,"Deloitte & Touche GmbH","Berlin","Stepstone"
"108",2015-12-16,"Gameforge AG","Karlsruhe","Stepstone"
"109",2015-12-16,"Deloitte & Touche GmbH","Berlin","Stepstone"
"110",2015-12-16,"ALDI SÜD","Mülheim","Stepstone"
"111",2015-12-15,"BMW Group","München","Stepstone"
"112",2015-12-14,"ALTRAN Deutschland","bundesweit","Stepstone"
"113",2015-12-14,"Deloitte & Touche GmbH","Berlin","Stepstone"
"114",2015-12-13,"G+J Digital Products GmbH","Hamburg","Stepstone"
"115",2015-12-11,"Deutsche Messe AG","Hannover","Stepstone"
"116",2015-12-11,"Schober Information Group...","Stuttgart","Stepstone"
"117",2015-12-11,"Schober Information Group...","Stuttgart","Stepstone"
"118",2015-12-09,"Deutsche Bahn AG","Frankfurt","Stepstone"
"119",2015-12-08,"inovex GmbH","München","Stepstone"
"120",2015-12-08,"inovex GmbH","München","Stepstone"
"121",2015-12-02,"AXA Konzern AG","Köln","Stepstone"
"122",2015-12-02,"Blue Yonder GmbH","Karlsruhe","Stepstone"
"123",2015-12-01,"Blue Yonder GmbH","Karlsruhe","Stepstone"
"124",2015-12-01,"AXA Konzern AG","Köln","Stepstone"
"125",2015-12-17,"EY","Frankfurt","Stepstone"
"126",2015-12-06,"Vodafone","München","Stepstone"
"127",2015-12-17,"Deloitte & Touche GmbH","Frankfurt","Stepstone"
"128",2015-12-17,"Deloitte & Touche GmbH","Frankfurt","Stepstone"
"129",2015-12-14,"easyCredit","Stuttgart","Stepstone"
"130",2015-12-11,"HORNBACH Baumarkt AG","Nürnberg","Stepstone"
"131",2015-12-10,"IT-Personalberatung Dr. D...","Bornheim","Stepstone"
"132",2015-12-09,"Polizeipräsidium Reutling...","Esslingen","Stepstone"
"133",2015-12-16,"Horváth & Partner GmbH","München","Stepstone"
"134",2015-12-16,"Deloitte & Touche GmbH","Berlin","Stepstone"
"135",2015-12-15,"Deloitte & Touche GmbH","Stuttgart","Stepstone"
"136",2015-12-15,"Deloitte & Touche GmbH","München","Stepstone"
"137",2015-12-15,"Deloitte & Touche GmbH","Frankfurt","Stepstone"
